Language,FLORES_Code,Script,Script_Type,Directionality,Language_Family,Morphology,Word_Segmentation,Approx_Bytes_Per_Char,Reason_for_Selection
English,eng_Latn,Latin,Alphabetic,LTR,Indo-European (Germanic),Fusional,Space-separated,1,Base language
German,deu_Latn,Latin,Alphabetic,LTR,Indo-European (Germanic),Fusional,Space-separated,1,Direct comparison to the base language English
Spanish,spa_Latn,Latin,Alphabetic,LTR,Indo-European (Romance),Fusional,Space-separated,1,Romance language cluster to explore influence on model predictions
Italian,ita_Latn,Latin,Alphabetic,LTR,Indo-European (Romance),Fusional,Space-separated,1,Romance language cluster to explore influence on model predictions
French,fra_Latn,Latin,Alphabetic,LTR,Indo-European (Romance),Fusional,Space-separated,1,Romance language cluster to explore influence on model predictions
Romanian,ron_Latn,Latin,Alphabetic,LTR,Indo-European (Romance),Fusional,Space-separated,1,Romance language cluster to explore influence on model predictions
Croatian,hrv_Latn,Latin,Alphabetic,LTR,Indo-European (Slavic),Fusional,Space-separated,1,Paired with Serbian: same language essentially with different script; isolating script effect when byte-level encoding is held constant
Serbian,srp_Cyrl,Cyrillic,Alphabetic,LTR,Indo-European (Slavic),Fusional,Space-separated,2,Paired with Croatian: same language essentially with different script; isolating script effect when byte-level encoding is held constant
Chichewa,nya_Latn,Latin,Alphabetic,LTR,Niger-Congo (Bantu),Agglutinative,Space-separated,1,Paired with Finnish: agglutinative Bantu language with noun-class system to isolate language family effect
Finnish,fin_Latn,Latin,Alphabetic,LTR,Uralic,Agglutinative,Space-separated,1,Paired with Chichewa: agglutinative Uralic language with vowel harmony to isolate language family effect
Vietnamese,vie_Latn,Latin,Alphabetic,LTR,Austroasiatic,Isolating,Space-separated,1-2,Rare combination of Latin script with isolating morphology
Georgian,kat_Geor,Georgian,Alphabetic,LTR,Kartvelian,Agglutinative,Space-separated,2-3,Unique alphabet on an isolated language family with no close living relatives
Arabic,arb_Arab,Arabic,Abjad,RTL,Afro-Asiatic (Semitic),Fusional,Space-separated,2,Prototypical abjad script; paired with Hebrew to isolate script effect
Hebrew,heb_Hebr,Hebrew,Abjad,RTL,Afro-Asiatic (Semitic),Fusional,Space-separated,2,Prototypical abjad script; paired with Arabic to isolate script effect
Tamil,tam_Taml,Tamil (Brahmic),Abugida,LTR,Dravidian,Agglutinative,Space-separated,3,Prototypical compositional abugida
Thai,tha_Thai,Thai (Brahmic),Abugida,LTR,Kra-Dai,Isolating,No spaces between words,3,Compositional abugida with non-linear vowel-consonant reading order and no word boundaries
Amharic,amh_Ethi,Ge'ez,Syllabary,LTR,Afro-Asiatic (Semitic),Fusional,Space-separated,3,Abugida script with syllabic Unicode encoding
Korean,kor_Hang,Hangul,Syllabary,LTR,Koreanic,Agglutinative,Space-separated,3,Alphabetic script with syllabic Unicode encoding
Japanese,jpn_Jpan,Han + Kana (mixed),Logosyllabary,LTR,Japonic,Agglutinative,No spaces between words,3,Unique mixed logosyllabary script (logographic Han + syllabic Hiragana/Katakana)
Mandarin Chinese,zho_Hans,Han,Logographic,LTR,Sino-Tibetan,Isolating,No spaces between words,3,Prototypical logographic script
