Language,language_code,ratio_vs_english,Script,Script_Type,Directionality,Language_Family,Morphology,Word_Segmentation,Approx_Bytes_Per_Char,Reason_for_Selection,documents,utf8_bytes,utf8_bytes_human,balanced_allocation_bytes,ratio_vs_english_imbalanced,imbalanced_allocation_bytes
English,eng_Latn,1.0,Latin,Alphabetic,LTR,Indo-European (Germanic),Fusional,Space-separated,1,Base language,n/a,79332881694653,72.15TB,364940933,1.0,9769707598
German,deu_Latn,1.188730146061138,Latin,Alphabetic,LTR,Indo-European (Germanic),Fusional,Space-separated,1,Direct comparison to the base language English,495964485,1654784757688,1.51TB,433816288,0.020858750146719198,203783890
Spanish,spa_Latn,1.2138079655199936,Latin,Alphabetic,LTR,Indo-European (Romance),Fusional,Space-separated,1,Romance language cluster to explore influence on model predictions,441287261,1447166708770,1.32TB,442968211,0.018241701017997162,178216085
Italian,ita_Latn,1.1827599968074067,Latin,Alphabetic,LTR,Indo-European (Romance),Fusional,Space-separated,1,Romance language cluster to explore influence on model predictions,238984437,793750885035,739.24GB,431637536,0.010005320216276708,97749053
French,fra_Latn,1.233721765504031,Latin,Alphabetic,LTR,Indo-European (Romance),Fusional,Space-separated,1,Romance language cluster to explore influence on model predictions,360058973,1220202265605,1.11TB,450235572,0.015380788388621475,150265805
Romanian,ron_Latn,1.1884108867427567,Latin,Alphabetic,LTR,Indo-European (Romance),Fusional,Space-separated,1,Romance language cluster to explore influence on model predictions,58303671,199920561455,186.19GB,433699777,0.0025200214234556736,24619872
Croatian,hrv_Latn,1.0146859286455423,Latin,Alphabetic,LTR,Indo-European (Slavic),Fusional,Space-separated,1,Paired with Serbian: same language essentially with different script; isolating script effect when byte-level encoding is held constant,6195824,38555062999,35.91GB,370300429,0.00048599095577286455,4747990
Serbian,srp_Cyrl,1.8072870939420544,Cyrillic,Alphabetic,LTR,Indo-European (Slavic),Fusional,Space-separated,2,Paired with Croatian: same language essentially with different script; isolating script effect when byte-level encoding is held constant,4146124,28846157665,26.87GB,659553038,0.00036360909938992195,3552355
Chichewa,nya_Latn,1.1315907095538351,Latin,Alphabetic,LTR,Niger-Congo (Bantu),Agglutinative,Space-separated,1,Paired with Finnish: agglutinative Bantu language with noun-class system to isolate language family effect,103045,417963769,398.60MB,412963769,5.268480862811902e-06,51472
Finnish,fin_Latn,1.1107430760635326,Latin,Alphabetic,LTR,Uralic,Agglutinative,Space-separated,1,Paired with Chichewa: agglutinative Uralic language with vowel harmony to isolate language family effect,36710816,153578789445,143.03GB,405355614,0.001935878114652567,18912963
Vietnamese,vie_Latn,1.3953148695027535,Latin,Alphabetic,LTR,Austroasiatic,Isolating,Space-separated,1-2,Rare combination of Latin script with isolating morphology,61064248,343416915256,319.83GB,509207510,0.0043288092896686765,42291201
Georgian,kat_Geor,2.974363476733977,Georgian,Alphabetic,LTR,Kartvelian,Agglutinative,Space-separated,2-3,Unique alphabet on an isolated language family with no close living relatives,3706659,27094494127,25.23GB,1085466981,0.0003415291811948154,3336640
Arabic,arb_Arab,1.600893926091468,Arabic,Abjad,RTL,Afro-Asiatic (Semitic),Fusional,Space-separated,2,Prototypical abjad script; paired with Hebrew to isolate script effect,61977525,315241517028,293.59GB,584231723,0.0039736551892989806,38821449
Hebrew,heb_Hebr,1.392481443052119,Hebrew,Abjad,RTL,Afro-Asiatic (Semitic),Fusional,Space-separated,2,Prototypical abjad script; paired with Arabic to isolate script effect,14491748,73780962340,68.71GB,508173477,0.0009300174248551569,9085998
Tamil,tam_Taml,3.183023385745072,Tamil (Brahmic),Abugida,LTR,Dravidian,Agglutinative,Space-separated,3,Prototypical compositional abugida,5528854,39693515188,36.97GB,1161615523,0.0005003412751446205,4888188
Thai,tha_Thai,2.765599808444409,Thai (Brahmic),Abugida,LTR,Kra-Dai,Isolating,No spaces between words,3,Compositional abugida with non-linear vowel-consonant reading order and no word boundaries,35897202,299226473998,278.68GB,1009280574,0.0037717837497659905,36849224
Amharic,amh_Ethi,1.7431239524303617,Ge'ez,Syllabary,LTR,Afro-Asiatic (Semitic),Fusional,Space-separated,3,Abugida script with syllabic Unicode encoding,428373,2675147230,2.49GB,636137281,3.3720535203756546e-05,329440
Korean,kor_Hang,1.2045494452869343,Hangul,Syllabary,LTR,Koreanic,Agglutinative,Space-separated,3,Alphabetic script with syllabic Unicode encoding,60874355,229164863492,213.43GB,439589398,0.0028886491779542356,28221258
Japanese,jpn_Jpan,1.2774203847074783,Han + Kana (mixed),Logosyllabary,LTR,Japonic,Agglutinative,No spaces between words,3,Unique mixed logosyllabary script (logographic Han + syllabic Hiragana/Katakana),400138563,1650248456871,1.50TB,466182987,0.020801569558795266,203225252
Mandarin Chinese,cmn_Hans,0.9358608029371858,Han,Logographic,LTR,Sino-Tibetan,Isolating,No spaces between words,3,Prototypical logographic script,636058984,2665362545414,2.42TB,341533914,0.033597198141280225,328234802
